N,P,K,temperature,humidity,ph,rainfall,label
11.7,55.0,19.1,23.32,66.79,6.05,37.4,lentil
24.5,73.8,16.1,27.24,65.09,6.67,44.65,lentil
0.0,66.6,22.7,21.32,64.03,6.36,35.0,lentil
36.7,61.9,21.3,23.74,68.14,6.5,43.83,lentil
11.1,72.5,15.3,25.94,62.25,6.71,45.81,lentil
26.4,68.0,15.6,21.42,66.68,6.44,50.9,lentil
24.0,61.5,18.0,24.31,60.0,6.82,47.21,lentil
32.3,57.6,23.1,30.0,61.7,6.59,45.01,lentil
4.6,70.6,22.1,22.2,67.91,5.98,37.53,lentil
21.4,67.7,18.2,26.43,66.33,6.61,44.38,lentil
26.0,64.7,25.0,21.56,70.0,6.41,38.12,lentil
33.7,68.3,22.1,27.67,65.84,6.25,49.88,lentil
20.0,71.8,15.0,25.34,63.4,6.81,48.12,lentil
22.4,70.5,17.5,28.87,69.98,6.5,52.95,lentil
14.3,62.5,20.1,25.3,64.02,6.53,46.53,lentil
10.0,70.7,22.2,24.51,67.88,6.1,47.34,lentil
8.3,60.5,18.4,21.17,63.63,6.35,49.19,lentil
16.8,57.6,22.9,21.49,64.85,6.51,46.0,lentil
30.9,70.5,17.8,30.0,65.49,6.36,49.82,lentil
22.5,70.0,25.0,23.17,64.21,6.43,50.36,lentil
4.9,55.2,18.5,19.1,63.94,6.53,40.55,lentil
5.7,67.9,22.2,18.92,67.05,6.6,49.77,lentil
32.2,80.0,19.1,24.33,63.96,6.4,52.66,lentil
6.5,62.1,23.4,27.06,64.09,6.61,46.71,lentil
35.0,68.0,22.6,30.0,66.5,6.41,48.61,lentil
16.3,80.0,20.5,23.18,62.91,6.67,49.34,lentil
15.0,71.1,16.2,24.55,66.13,6.83,41.15,lentil
7.2,61.9,16.7,28.01,68.87,6.48,51.11,lentil
21.3,66.9,19.2,23.07,61.13,6.47,44.8,lentil
27.5,68.1,19.6,21.39,65.18,6.58,39.28,lentil
20.9,69.0,18.2,22.24,65.58,6.12,46.75,lentil
11.0,74.1,25.0,21.42,66.34,6.22,50.2,lentil
7.3,70.5,17.8,23.38,62.42,6.61,40.82,lentil
25.5,65.3,19.7,24.44,63.1,6.45,52.65,lentil
12.2,74.8,23.7,21.55,61.36,6.48,42.26,lentil
38.7,67.7,18.0,20.56,67.72,6.26,45.22,lentil
29.6,64.5,19.9,23.95,66.71,6.55,43.9,lentil
20.6,65.2,16.3,24.77,69.73,6.18,41.13,lentil
11.3,72.0,21.1,23.52,62.7,6.42,37.18,lentil
21.4,72.9,16.9,19.4,68.95,6.25,50.68,lentil
18.5,66.5,21.1,21.35,65.33,6.3,38.4,lentil
23.4,65.9,19.6,20.37,68.98,6.62,49.82,lentil
16.9,56.7,24.9,23.82,63.13,6.5,50.84,lentil
19.8,75.5,22.7,20.77,63.32,6.64,35.0,lentil
18.5,58.6,18.8,23.1,64.1,6.26,39.51,lentil
40.0,79.2,17.1,28.75,64.0,6.43,44.68,lentil
13.4,73.6,20.3,22.57,61.74,6.18,36.79,lentil
20.1,60.0,19.3,28.11,68.0,6.39,44.56,lentil
38.8,70.8,19.2,19.72,65.98,6.61,41.84,lentil
22.9,65.2,19.5,18.0,64.45,6.64,41.84,lentil
20.5,62.8,20.9,23.35,62.65,6.73,49.64,lentil
14.0,70.6,21.3,25.93,60.76,6.65,42.15,lentil
16.4,80.0,20.8,22.84,60.0,6.75,38.27,lentil
10.0,65.4,23.5,26.32,64.61,6.48,42.0,lentil
21.4,68.0,22.4,26.9,66.23,6.31,48.71,lentil
19.1,60.7,19.0,24.25,67.28,6.35,38.95,lentil
20.6,68.2,20.5,26.76,67.55,6.25,41.92,lentil
9.6,71.9,23.6,23.05,64.4,6.77,47.53,lentil
24.4,60.1,21.7,21.21,62.16,6.31,42.07,lentil
17.8,8.5,42.4,23.47,85.09,6.99,103.57,pomegranate
28.6,17.1,40.1,21.18,90.62,5.88,107.82,pomegranate
31.0,22.0,45.0,20.57,90.18,6.45,109.7,pomegranate
19.9,15.1,43.3,20.64,86.03,6.24,107.86,pomegranate
33.9,18.2,43.3,19.12,87.72,6.36,105.66,pomegranate
20.8,21.8,38.9,21.74,88.42,6.04,105.66,pomegranate
18.6,16.5,40.1,21.63,87.74,7.14,102.49,pomegranate
12.8,30.0,37.4,19.13,89.79,5.5,105.29,pomegranate
40.0,7.8,35.0,18.88,90.07,7.06,104.46,pomegranate
26.8,26.2,44.5,21.07,85.0,6.09,104.72,pomegranate
17.4,16.3,42.8,23.73,88.2,7.05,107.07,pomegranate
20.6,23.2,40.2,25.0,85.98,6.24,105.62,pomegranate
24.4,25.4,39.9,19.01,89.97,6.88,100.17,pomegranate
20.0,7.6,38.3,19.92,89.92,6.56,102.14,pomegranate
28.8,8.5,40.8,20.08,87.86,6.75,107.56,pomegranate
33.4,17.0,40.8,20.73,88.82,6.72,105.71,pomegranate
2.0,19.6,40.9,20.31,86.25,7.24,107.47,pomegranate
17.7,10.4,37.9,23.78,88.74,6.22,107.53,pomegranate
11.9,26.9,43.4,20.68,87.4,5.5,101.56,pomegranate
6.6,18.3,39.2,19.15,88.01,6.75,107.58,pomegranate
1.0,16.7,36.5,23.08,89.87,6.05,103.7,pomegranate
15.4,5.0,40.8,21.02,90.2,5.95,104.14,pomegranate
4.9,11.2,37.0,23.24,87.28,6.56,104.86,pomegranate
7.3,16.4,41.5,19.39,89.92,6.08,104.55,pomegranate
25.3,13.4,40.1,20.95,88.73,5.5,100.51,pomegranate
26.2,24.0,37.7,21.07,89.02,6.85,100.0,pomegranate
11.1,15.4,41.8,25.0,88.1,5.8,107.21,pomegranate
33.2,18.2,37.7,23.18,89.66,5.99,107.14,pomegranate
30.0,24.9,39.8,20.87,90.65,5.89,107.32,pomegranate
6.3,24.2,39.4,23.72,89.36,5.89,110.27,pomegranate
35.5,23.0,38.1,20.96,88.75,6.15,111.08,pomegranate
21.4,5.0,40.8,20.89,88.37,6.32,108.42,pomegranate
31.2,19.3,39.2,21.43,88.53,6.1,107.74,pomegranate
24.6,27.1,43.1,20.3,89.94,6.02,108.09,pomegranate
14.8,11.1,40.7,18.0,85.44,6.41,106.25,pomegranate
16.3,7.6,38.0,22.18,89.52,6.49,109.47,pomegranate
24.0,12.8,39.3,19.04,88.31,7.06,108.06,pomegranate
34.0,15.6,43.4,21.16,91.08,6.49,108.12,pomegranate
34.8,16.3,40.5,23.76,88.27,5.84,112.0,pomegranate
15.3,18.5,42.9,20.44,86.74,6.63,100.62,pomegranate
17.1,19.0,39.3,18.8,91.29,6.55,110.29,pomegranate
17.4,12.0,40.7,21.12,86.44,7.23,104.13,pomegranate
1.6,25.8,38.7,20.44,85.41,7.37,102.13,pomegranate
20.6,23.2,41.1,21.4,85.52,6.1,106.56,pomegranate
12.1,18.8,41.7,23.18,86.35,7.5,108.3,pomegranate
20.0,24.3,45.0,18.98,88.11,5.5,106.58,pomegranate
23.7,17.3,38.4,18.0,89.15,7.23,104.23,pomegranate
24.4,7.7,41.1,20.81,87.17,6.12,104.82,pomegranate
23.8,9.3,39.0,21.43,86.58,7.4,103.44,pomegranate
13.3,11.4,44.5,22.47,86.86,7.05,106.6,pomegranate
22.6,15.3,38.1,22.09,87.55,7.41,102.19,pomegranate
35.4,16.8,40.7,22.96,87.4,6.93,100.0,pomegranate
12.8,11.7,36.9,21.12,89.18,6.85,106.72,pomegranate
13.3,19.8,40.3,23.14,89.86,6.52,103.31,pomegranate
13.5,14.1,39.2,21.97,89.75,6.47,106.05,pomegranate
21.4,14.3,37.7,18.43,87.28,6.74,103.89,pomegranate
17.6,20.4,41.3,19.61,90.24,7.06,102.61,pomegranate
11.8,24.9,39.6,18.0,86.05,6.38,102.51,pomegranate
15.9,17.7,43.7,20.99,90.38,7.21,110.3,pomegranate
22.8,5.2,41.2,23.33,88.36,7.37,108.58,pomegranate
25.7,24.3,40.8,18.0,87.63,7.1,103.58,pomegranate
17.8,11.0,44.5,24.44,86.95,6.57,103.96,pomegranate
26.1,20.7,42.0,22.08,92.0,5.99,100.87,pomegranate
16.1,7.7,36.3,19.75,86.89,6.02,107.55,pomegranate
14.9,16.4,42.2,20.16,88.04,6.68,100.18,pomegranate
0.0,19.7,41.2,25.0,88.78,6.91,105.41,pomegranate
23.0,27.9,35.0,22.22,92.0,6.64,110.95,pomegranate
13.7,17.3,40.1,18.0,86.46,5.95,108.47,pomegranate
28.7,19.5,42.1,21.21,90.6,6.5,106.17,pomegranate
17.3,21.8,38.9,23.21,86.52,5.95,108.06,pomegranate
19.1,14.7,42.2,20.44,88.15,7.2,110.62,pomegranate
35.7,15.7,43.1,19.84,86.91,5.5,111.02,pomegranate
11.4,16.7,37.7,22.72,87.84,5.85,107.32,pomegranate
5.7,12.3,35.0,19.01,88.81,5.52,101.56,pomegranate
20.0,14.1,45.0,24.71,86.98,6.78,108.25,pomegranate
14.0,8.2,40.0,21.2,87.74,6.72,103.75,pomegranate
8.5,18.2,41.0,19.44,90.12,5.61,104.27,pomegranate
17.4,13.5,38.6,24.77,87.01,7.5,107.31,pomegranate
20.9,20.5,45.0,19.76,86.54,6.12,106.1,pomegranate
2.7,17.6,44.2,21.76,87.99,6.19,108.7,pomegranate
11.7,29.0,44.8,21.95,88.48,7.02,109.28,pomegranate
11.9,14.2,36.7,22.22,89.67,5.83,104.63,pomegranate
6.5,11.9,41.4,20.22,87.97,5.69,106.56,pomegranate
19.6,12.9,39.5,21.82,87.07,5.76,111.42,pomegranate
13.7,16.9,42.5,25.0,86.32,6.72,103.88,pomegranate
14.6,13.0,37.2,21.43,85.92,6.97,106.17,pomegranate
24.2,14.6,39.1,22.0,86.46,6.32,103.42,pomegranate
11.1,5.0,43.3,20.3,90.54,7.03,102.14,pomegranate
9.1,30.0,44.4,21.44,88.95,6.18,107.3,pomegranate
12.8,5.0,36.7,21.54,86.52,6.47,102.78,pomegranate
12.2,22.8,40.6,21.48,90.04,6.74,110.34,pomegranate
15.4,14.8,36.7,20.75,90.19,7.15,108.88,pomegranate
2.1,24.3,35.4,23.07,87.86,6.85,102.0,pomegranate
31.7,8.3,38.3,19.75,85.43,6.55,111.42,pomegranate
40.0,18.1,42.8,21.91,89.37,6.33,106.59,pomegranate
25.4,13.9,39.8,21.4,89.95,5.97,105.85,pomegranate
39.1,24.8,43.4,21.54,89.06,7.0,110.68,pomegranate
0.5,9.3,43.3,21.02,87.32,5.87,104.33,pomegranate
6.0,30.0,39.9,21.4,89.53,6.98,108.84,pomegranate
30.7,13.6,39.3,22.85,87.58,6.5,107.2,pomegranate
107.9,71.4,51.8,26.77,81.77,6.19,108.04,banana
113.5,90.9,53.6,27.29,80.08,6.22,103.66,banana
96.9,85.0,49.9,26.15,83.23,6.01,110.0,banana
83.7,79.0,50.1,28.14,81.0,6.08,94.36,banana
88.4,84.5,46.6,26.47,81.25,5.75,108.03,banana
112.2,72.7,47.7,25.0,78.04,6.19,97.93,banana
104.6,73.0,52.0,26.44,80.03,5.98,93.64,banana
88.5,88.5,51.0,28.05,80.81,6.04,91.37,banana
97.3,82.3,54.9,27.69,83.84,6.15,96.44,banana
101.2,84.0,47.7,26.62,79.49,6.4,90.0,banana
112.1,76.6,46.6,28.18,81.83,6.31,104.0,banana
120.0,86.0,49.6,27.34,83.11,5.81,96.74,banana
96.9,70.0,50.3,25.11,80.13,6.22,97.62,banana
116.8,73.4,53.0,27.68,75.71,6.5,99.68,banana
91.2,73.7,49.4,26.87,80.26,5.93,103.17,banana
96.1,70.4,49.6,25.0,80.88,5.76,100.82,banana
113.1,76.6,52.7,26.57,84.38,5.91,95.8,banana
106.9,79.8,47.9,26.52,79.89,6.34,90.33,banana
100.2,86.4,50.5,28.31,79.81,5.95,102.96,banana
101.0,80.1,51.3,26.35,78.47,5.87,106.77,banana
80.0,85.0,50.1,25.32,80.77,6.12,102.95,banana
80.0,91.0,48.2,27.69,81.85,5.78,103.3,banana
96.1,70.0,52.9,26.22,77.86,5.9,101.36,banana
99.4,85.9,46.7,26.26,79.71,6.47,99.43,banana
110.9,82.7,48.8,26.75,79.58,6.15,106.87,banana
103.6,89.9,47.6,26.59,78.19,6.08,98.21,banana
107.3,76.7,50.1,27.69,75.0,6.5,98.58,banana
80.0,83.5,50.1,26.92,82.48,6.19,101.49,banana
104.5,81.8,54.4,25.52,80.35,6.02,104.07,banana
91.6,71.6,50.4,27.28,83.72,5.68,105.77,banana
120.0,80.1,46.8,26.59,80.04,6.14,97.04,banana
115.6,75.5,45.7,28.11,75.0,5.95,110.0,banana
99.9,75.5,49.9,26.95,80.4,6.17,94.8,banana
116.9,84.0,51.8,26.37,83.22,5.94,101.39,banana
90.7,76.3,51.7,26.56,77.87,5.84,103.49,banana
93.7,81.8,50.0,25.08,76.32,6.08,96.31,banana
110.6,88.5,51.8,28.82,79.79,6.16,97.08,banana
120.0,94.9,50.0,27.39,83.4,5.96,96.72,banana
108.7,83.0,50.5,26.17,75.71,6.06,104.52,banana
97.7,91.5,48.2,25.95,79.83,5.98,103.85,banana
92.3,91.1,54.9,26.96,83.12,5.74,105.38,banana
110.5,87.9,50.0,25.0,78.4,5.84,95.11,banana
101.2,79.9,47.9,25.94,78.21,6.28,96.69,banana
94.9,79.6,50.8,27.46,75.0,6.26,107.18,banana
89.5,76.4,48.9,26.24,80.56,5.51,94.41,banana
115.4,76.7,53.1,27.36,75.48,6.16,99.41,banana
95.4,84.0,51.2,27.71,82.95,6.1,93.12,banana
95.3,95.0,51.8,29.0,83.49,6.06,101.51,banana
99.6,71.6,50.0,28.21,78.5,6.1,104.26,banana
90.9,79.7,47.5,26.18,76.78,5.77,107.1,banana
90.8,83.3,48.7,28.18,83.28,6.22,101.53,banana
97.7,75.1,54.9,26.24,81.66,6.26,97.22,banana
110.4,87.3,54.3,26.53,76.79,5.87,101.04,banana
100.6,80.0,45.2,27.47,84.93,6.12,103.05,banana
105.7,85.0,52.3,27.4,79.22,5.8,98.76,banana
103.1,80.5,50.8,27.44,82.08,6.32,100.39,banana
86.9,80.3,50.1,25.16,83.47,6.04,101.91,banana
113.7,78.6,51.4,26.89,79.54,5.81,108.33,banana
96.2,86.9,45.3,28.18,82.63,6.02,98.87,banana
104.0,95.0,45.6,27.78,77.72,6.0,98.76,banana
95.7,82.4,47.2,28.03,75.51,6.13,98.37,banana
88.3,83.8,46.1,27.04,76.44,6.12,95.38,banana
95.5,84.3,48.1,26.94,76.22,6.16,108.82,banana
120.0,83.1,52.0,25.22,83.76,6.19,97.58,banana
112.4,80.9,48.9,27.48,77.34,6.26,94.72,banana
89.5,76.8,51.9,26.38,76.63,5.85,99.84,banana
88.2,75.3,55.0,26.14,79.19,5.91,97.89,banana
106.2,88.4,49.2,25.76,83.19,5.98,108.65,banana
80.0,83.7,54.8,26.65,79.44,6.07,97.21,banana
96.9,80.4,48.4,28.23,81.15,6.06,104.04,banana
97.4,77.7,48.5,27.0,77.35,5.87,97.42,banana
120.0,70.0,49.6,28.73,80.3,6.19,100.5,banana
93.3,70.0,50.5,26.22,78.0,5.88,108.72,banana
120.0,83.9,48.8,25.82,81.17,6.45,98.76,banana
80.0,86.7,52.5,25.41,80.44,6.11,99.63,banana
92.1,88.8,49.0,25.51,75.0,6.32,103.08,banana
100.9,79.7,48.7,25.92,78.92,5.5,96.32,banana
96.9,86.3,49.9,27.79,83.37,6.26,102.35,banana
100.1,76.4,51.8,28.68,80.86,6.48,92.37,banana
88.5,87.8,50.7,28.31,79.96,5.78,98.93,banana
84.7,75.4,52.4,27.87,80.91,5.57,98.21,banana
87.8,89.9,48.5,25.91,80.07,5.84,107.42,banana
92.7,73.8,45.0,26.97,78.6,5.64,105.95,banana
106.7,82.3,53.4,27.66,77.94,5.74,104.09,banana
104.0,83.6,47.9,27.61,78.11,5.97,107.23,banana
93.4,72.7,47.4,27.99,80.64,5.97,97.45,banana
104.9,77.2,50.8,26.27,77.76,5.84,98.12,banana
99.5,84.0,45.0,26.19,79.02,6.38,94.6,banana
101.6,91.8,46.7,27.39,77.99,5.87,95.98,banana
92.7,95.0,52.1,28.1,81.23,5.6,101.97,banana
110.7,77.2,52.4,27.7,84.63,5.9,94.51,banana
96.4,91.5,45.4,25.0,80.22,5.89,100.04,banana
109.5,79.0,45.3,29.0,77.51,5.74,105.52,banana
96.2,82.1,51.2,28.08,79.17,6.38,90.0,banana
107.6,77.3,53.4,27.14,78.32,6.17,104.47,banana
106.4,76.1,48.8,27.0,79.9,6.19,90.0,banana
103.3,80.7,47.9,26.26,79.46,5.5,96.49,banana
91.2,85.8,48.0,26.78,83.86,6.25,104.51,banana
95.0,85.9,49.4,26.8,81.02,5.85,107.47,banana
98.4,86.4,53.6,28.03,76.48,6.11,104.25,banana
28.9,20.5,28.4,33.74,48.1,5.56,102.88,mango
19.5,23.0,27.8,32.25,46.67,5.6,96.67,mango
33.0,31.7,28.2,34.15,49.25,4.98,94.14,mango
34.4,28.5,30.0,35.18,46.42,4.95,86.92,mango
23.7,28.5,33.9,32.05,48.99,5.75,95.59,mango
3.3,40.0,31.3,31.97,51.54,6.19,94.3,mango
13.7,31.2,31.0,29.68,53.55,5.93,98.65,mango
33.9,27.6,30.8,33.32,48.19,5.78,95.63,mango
10.4,40.0,26.5,28.58,53.29,6.2,89.87,mango
26.1,36.7,29.9,36.0,45.69,6.18,100.83,mango
28.9,26.2,29.3,32.5,52.04,6.13,100.2,mango
9.8,26.1,27.6,30.63,52.54,5.82,105.0,mango
21.9,27.9,30.3,30.06,49.86,6.45,95.57,mango
12.1,21.7,28.9,31.67,52.98,4.91,93.4,mango
21.4,16.0,27.9,29.97,48.01,5.87,94.2,mango
14.4,30.2,34.3,35.19,45.19,6.11,94.11,mango
21.6,25.0,30.3,31.84,48.55,5.19,92.76,mango
22.3,31.2,32.1,30.39,50.71,6.35,100.83,mango
19.4,26.1,30.5,28.91,49.52,6.22,98.21,mango
17.3,28.9,27.9,33.08,49.81,5.58,93.19,mango
19.4,24.7,31.6,30.61,53.98,6.67,90.54,mango
20.7,23.4,29.2,36.0,49.23,5.98,97.71,mango
10.0,22.2,27.0,29.51,45.0,6.09,105.0,mango
21.5,18.6,28.4,30.47,47.46,6.29,99.05,mango
8.4,32.0,33.8,35.78,55.0,5.19,105.0,mango
16.5,23.8,30.8,30.19,51.0,4.92,93.81,mango
32.9,27.1,30.4,32.57,52.93,4.72,97.92,mango
17.3,28.5,32.6,28.81,47.47,4.54,92.25,mango
33.3,26.7,26.6,30.41,46.28,5.05,96.94,mango
8.3,34.5,29.8,31.69,49.3,6.23,98.92,mango
23.4,31.0,29.5,32.72,49.16,5.75,93.63,mango
15.4,23.2,31.2,34.45,52.93,4.96,101.45,mango
16.8,31.3,27.7,31.82,50.78,4.82,98.04,mango
33.5,26.4,33.4,31.07,52.12,4.5,105.0,mango
35.0,25.7,25.1,32.15,46.39,6.03,97.06,mango
10.6,34.5,32.0,33.7,50.02,4.87,99.89,mango
17.3,18.8,33.4,36.0,49.9,7.0,95.46,mango
16.2,23.6,34.1,29.74,51.84,5.4,92.7,mango
30.3,25.1,29.0,34.05,53.99,6.15,91.73,mango
14.9,28.0,30.8,29.28,51.81,5.8,86.42,mango
10.7,24.3,29.8,35.75,50.6,5.22,96.1,mango
16.5,29.5,31.5,34.22,49.94,6.77,99.54,mango
12.9,40.0,30.8,29.62,54.13,7.0,94.83,mango
15.0,26.4,31.8,34.38,51.43,5.81,102.49,mango
16.9,33.9,29.3,32.47,49.72,5.72,93.11,mango
33.4,22.9,28.1,36.0,52.44,4.5,92.17,mango
1.9,21.6,25.0,31.19,47.15,5.79,86.87,mango
20.8,24.9,33.8,34.68,51.96,5.55,104.93,mango
4.5,18.7,29.8,36.0,49.49,5.64,87.79,mango
29.5,33.5,32.0,30.08,48.23,4.94,95.42,mango
9.2,20.1,28.9,30.4,48.66,6.04,95.4,mango
17.1,28.6,27.5,31.74,50.38,4.81,99.98,mango
11.2,28.1,32.9,33.58,50.09,5.52,99.74,mango
26.7,23.6,28.0,27.0,50.39,5.7,100.68,mango
23.6,35.8,28.3,34.06,48.68,6.24,87.71,mango
22.4,15.1,29.3,32.49,48.7,5.09,99.23,mango
19.0,24.4,30.1,36.0,52.88,6.48,97.18,mango
21.7,15.0,28.3,30.42,45.31,5.03,85.1,mango
19.6,32.6,32.8,32.43,47.59,4.54,86.22,mango
7.3,21.9,29.6,29.22,50.85,5.6,95.05,mango
31.4,20.1,31.0,31.47,49.17,6.3,99.4,mango
10.5,26.4,30.7,30.89,51.46,5.93,104.16,mango
4.7,26.7,27.7,32.86,45.96,5.97,91.85,mango
12.7,18.5,28.8,33.94,49.94,6.14,103.32,mango
22.6,24.0,31.2,30.28,48.74,4.8,99.63,mango
16.1,28.6,27.4,32.48,48.1,5.66,99.39,mango
27.9,27.4,25.6,36.0,54.36,6.2,91.23,mango
18.9,24.1,33.2,32.09,48.04,5.46,100.61,mango
36.0,37.1,31.9,30.93,45.0,5.94,94.99,mango
21.4,27.8,26.7,32.75,51.58,6.18,99.73,mango
26.0,24.9,29.8,31.71,50.27,6.37,98.22,mango
40.0,40.0,30.2,27.0,53.09,5.41,90.99,mango
16.0,24.7,31.5,27.99,47.31,5.96,98.11,mango
26.4,22.6,27.6,30.36,50.6,6.68,85.0,mango
17.8,19.2,25.9,33.68,51.36,6.03,99.61,mango
15.2,24.8,35.0,30.95,51.84,5.75,85.76,mango
0.0,23.9,32.6,33.27,52.29,5.13,103.08,mango
10.4,28.8,30.0,31.11,53.35,5.31,88.25,mango
20.2,25.0,35.0,33.02,48.98,5.09,85.6,mango
9.7,28.2,33.6,34.02,50.57,5.55,96.34,mango
14.8,38.2,29.5,31.31,45.0,5.63,99.18,mango
9.3,22.8,32.0,28.18,52.64,5.42,93.06,mango
8.8,29.9,35.0,33.26,47.84,6.46,93.42,mango
33.7,32.5,25.0,29.24,52.36,5.84,89.88,mango
13.7,15.6,29.8,36.0,52.01,7.0,99.41,mango
30.3,39.8,30.9,31.08,52.58,6.66,92.6,mango
12.8,28.4,32.1,33.3,46.44,6.94,91.79,mango
17.3,21.9,35.0,32.04,47.87,6.29,98.85,mango
18.1,32.8,27.9,30.39,45.0,4.92,104.04,mango
36.4,27.9,34.2,31.14,49.39,5.79,94.38,mango
17.8,34.6,30.4,33.1,52.58,5.99,90.15,mango
6.5,28.4,29.6,31.7,49.96,7.0,88.35,mango
0.1,29.6,29.1,32.21,51.46,6.55,87.46,mango
14.4,30.2,31.9,36.0,52.39,5.71,90.55,mango
14.4,23.8,31.6,32.08,46.69,5.48,99.39,mango
23.5,31.1,31.0,35.16,50.59,5.51,90.42,mango
22.5,15.0,29.5,31.04,46.59,5.17,99.05,mango
22.3,28.1,30.8,31.71,53.11,5.83,87.71,mango
36.3,29.8,28.5,28.68,50.99,5.68,102.87,mango
16.5,22.3,32.2,33.58,50.42,6.17,94.81,mango
22.3,139.8,201.6,23.73,84.19,5.5,75.0,grapes
2.9,128.6,199.9,23.9,83.76,5.74,70.65,grapes
14.2,134.3,199.8,25.7,81.81,5.87,70.72,grapes
29.4,128.8,197.8,29.6,82.46,6.21,67.74,grapes
2.2,129.2,198.1,24.41,81.7,6.19,69.28,grapes
21.5,133.5,200.5,24.82,83.14,5.8,73.5,grapes
17.6,124.3,200.5,18.62,83.33,6.5,68.03,grapes
23.3,121.5,201.1,18.36,81.72,5.72,71.83,grapes
30.1,132.6,197.8,36.92,81.56,5.5,71.15,grapes
9.0,138.7,199.0,29.53,84.25,5.7,68.59,grapes
19.2,142.1,198.4,20.54,83.1,5.86,70.38,grapes
4.5,145.0,196.6,22.59,82.46,6.48,66.69,grapes
39.8,137.2,201.0,17.62,83.21,5.82,73.17,grapes
10.3,131.8,198.6,17.59,83.43,6.13,73.02,grapes
2.2,139.2,205.0,21.61,84.87,5.93,66.57,grapes
16.9,139.1,197.9,20.5,83.24,6.0,71.46,grapes
22.4,135.5,198.9,26.74,81.34,6.32,68.41,grapes
31.3,131.0,200.5,21.29,81.23,5.56,67.36,grapes
16.8,133.8,202.5,21.66,81.4,5.64,71.2,grapes
33.8,140.4,201.8,29.79,84.62,6.08,71.62,grapes
16.8,124.0,198.3,24.93,82.58,6.48,70.2,grapes
31.8,129.8,199.2,15.03,81.57,6.13,70.02,grapes
29.4,133.6,199.1,40.0,82.38,6.29,69.0,grapes
27.1,138.3,200.5,10.0,82.52,6.31,71.32,grapes
24.5,121.7,198.2,28.09,83.01,6.3,69.64,grapes
24.1,132.6,197.5,10.0,83.04,6.04,68.45,grapes
3.8,136.4,199.3,29.18,84.83,5.5,68.25,grapes
17.9,141.6,195.9,39.52,82.67,5.98,69.5,grapes
15.6,139.1,197.3,27.59,82.02,5.81,75.0,grapes
24.2,136.3,202.8,14.34,84.69,5.5,68.08,grapes
15.4,136.1,200.5,23.75,82.49,5.76,66.26,grapes
27.3,136.8,204.0,19.07,83.37,5.93,72.98,grapes
30.2,133.8,199.2,32.21,83.31,5.83,66.68,grapes
17.1,142.0,202.9,16.66,81.04,6.32,67.16,grapes
25.1,128.6,204.0,19.22,83.93,6.05,70.63,grapes
0.3,120.0,199.4,26.85,81.09,5.73,71.4,grapes
25.6,131.6,202.0,16.19,82.06,6.41,70.17,grapes
21.3,145.0,196.5,30.97,84.58,5.92,72.15,grapes
10.2,128.2,201.0,30.99,83.9,6.39,69.83,grapes
31.9,130.4,202.3,26.56,83.06,6.11,65.99,grapes
8.8,133.1,195.8,31.23,83.59,6.08,67.2,grapes
33.8,145.0,200.4,28.83,82.75,6.13,69.7,grapes
19.7,138.2,205.0,14.5,82.37,5.7,73.98,grapes
14.1,123.5,201.6,38.08,83.33,6.05,71.02,grapes
34.1,127.0,199.7,21.6,81.04,5.92,72.77,grapes
25.7,136.5,200.4,28.92,81.5,5.92,70.48,grapes
22.8,134.5,199.7,22.17,85.0,6.23,71.03,grapes
17.7,129.7,199.7,27.2,80.15,5.61,68.41,grapes
22.1,131.0,203.7,13.88,81.56,6.38,70.33,grapes
28.8,145.0,198.3,24.26,82.16,5.51,69.22,grapes
28.8,135.9,201.5,22.18,81.68,6.32,68.76,grapes
22.9,133.5,203.7,32.29,80.88,5.7,71.45,grapes
19.4,129.7,202.5,26.41,82.57,6.19,69.06,grapes
35.7,127.6,201.6,35.75,80.78,5.91,72.86,grapes
31.6,131.4,198.2,32.17,83.98,5.71,66.99,grapes
22.3,136.4,199.3,30.09,81.61,5.5,68.94,grapes
20.6,130.8,197.1,11.38,81.86,6.22,73.14,grapes
31.9,127.4,197.1,28.72,83.29,6.1,65.0,grapes
11.3,132.3,201.2,30.75,82.68,6.08,70.21,grapes
26.9,134.5,200.2,22.99,82.6,6.12,70.67,grapes
23.8,140.9,200.7,20.13,83.6,5.66,67.3,grapes
23.4,135.7,196.9,22.13,81.74,5.88,72.36,grapes
27.1,132.4,198.6,14.88,84.28,6.15,68.23,grapes
27.2,132.1,199.3,28.26,81.57,5.91,70.3,grapes
15.0,136.7,204.7,19.34,80.42,5.5,69.62,grapes
13.4,133.8,200.3,12.98,80.23,6.07,70.34,grapes
15.7,122.1,201.2,34.54,82.85,5.79,70.11,grapes
6.3,139.1,200.2,11.74,82.12,6.12,69.17,grapes
17.2,124.8,201.4,20.14,80.0,5.91,72.45,grapes
16.1,143.4,201.1,27.54,82.34,5.98,69.34,grapes
17.0,135.8,197.7,16.93,81.1,6.5,71.33,grapes
23.0,125.9,201.6,24.13,82.77,5.76,70.4,grapes
15.8,127.7,201.8,13.47,83.21,6.17,67.8,grapes
11.8,131.1,200.7,23.85,83.04,6.44,68.73,grapes
2.8,137.7,204.2,27.95,81.14,5.97,67.2,grapes
26.4,124.1,199.2,17.47,82.66,5.91,70.44,grapes
20.2,126.3,201.6,24.63,81.26,6.5,71.19,grapes
